// Bulgarian langfile for Bombus - mobile jabber client
// Copyright (c) 2005-2006, Eugene Stahov (evgs), http://bombus.jrudevels.org
// All rights reserved.
// (c) Alexey V.Lubimov <avl@l14.ru>, 2006.
// (c) Vladimir N. Shelukhin, 2006.

// ask server to send us localized messages
xmlLang	bg
//463
Jid	Jid
Privacy Lists	Личен списък
Message font	Шрифт съобщения
Roster font	Шрифт списък
Paste Body	Вмъкни тяло на съобщение
Configure Room	Настройка на стая
Paste Subject	Вмъкни тема
Service Discovery	Преглед услуги
User JID	JID на потребителя
New list	Нов списък
Select (no login)	Избор(без включване)
Privacy rule	Правило Поверителност
use SSL	Исползвай SSL
Modify	Промени
Update	Обнови
Account name	Сметка име
GMT offset	Часовои пояс (GMT+)
Time settings (hours)	Настройка време
Connected	СВЪРЗАН
Connect to 	Свързване с
Alert Profile	Известяване
Move Up	Нагоре
Move Down	Надолу
Owners	Собственик
Ok	ОК
Minimize	Намали
Room	Стая
Messages	Съобщение
Refresh	Обнови
Resolve Nicknames	Определи никовете
Action	Действие
Ban	Бан
Leave Room	Напусни стаята
Password	Парола
Actions >	Действия >
Activate	Активирай
Affiliation	Членство
Accounts	Сметки
Delete list	Изтрий списък
Account >	Сметка >
Show Offlines	Изключени видими
Select	Избери
Subject	Тема
Group menu	Меню група
Quit	Изход
Add to roster	Добави в ростер
Edit list	Списък редактиране
Registering	Регистрация
Done	Готово
Error: 	Грешка:
Browse	Обзор
Save list	Списък редакция
Keep-Alive period	Период Keep-Alive
<New Group>	<Нова група>
Send	Изпрати
Priority	Приоритет
Failed	Неуспешна връзка
Set Priority	Установи приоритет
Delete rule	Премахни правило
Roster request	Ростер Получаване
Type	Тип
Name	Имя
Username	Потребителско Име
fullscreen	Цял екран
Add bookmark	Добави отметка
conferences only	Само конференции
Client Version	Версия на клиента
Discard Search	Откажи търсене
Search Results	Търсене резултат
Members	Членове
// offline	Отключенные
Add Contact	Добави контакт
Subscription	Подписка
Status >	Статус >
Join	Присъедини се
Startup actions	Действия при старт
Server	Сървър
Admins	Администратори
Make Ignore-List	Създай Игнорирани
Options	Настройки
Delete	Изтрий
Delete contact?	Изтрий контакт?
Authorize	Упълномощаване
Nicknames	Никове
Entering setup	Настройки на акаунта
to Archive	В архив
Back	Назад
heap monitor	монитор heap
Message	Съобщение
<Other>	<Друг>
Append	Добави
Active Contacts	Активни контакти
Select nickname	Избор ник
Group	Група
Join conference	Влез в конференция
No	Не
Yes	Да
Re-Enter Room	Влез отново в стая
New Message	Ново съобщение
Add	Добави
Logon	Включване
Logoff	Изключване
at Host	Сървър
join conferences	Влез в конференции
Status	Статус
Smiles	Емотикони
Contact >	Контакт >
offline contacts	Изкл. контакти
Transport	Транспорт
composing events	"composing" события
Add Smile	:-)
Nickname	Ник
Revoke Voice	Без "глас"
Commands	Команди
- (Sign)	- (знак)
Set default	По подразбиране
Outcasts (Ban)	Изгони (Ban)
Set affiliation to	Измени членството на
Register Account	Регистрирай акаунт
autologin	Автовход
Publish	Публикувай
Remove subscription	Премахни членство
Set	Установи
Application	Приложение
Bookmarks	Отметки
Test sound	Тест звук
Startup	Стартиране
Edit rule	Редактиране правило
Cancel	Отказ
Close	Затвори
Archive	Архив
free 	Свободно 
Conference	Конференция
Sound	Звук
Login failed	Неуспешен вход
New Jid	Нов JID
plain-text password	Парола текст
Paste Nickname	Постави ник
Kick	Изгони (kick)
Clear List	Изчисти списък
Grant Voice	Право на  глас
Quote	Цитирай
Roster elements	Ростер елементи
popup from background	Изкачане от фона
smiles	Усмивки
About	За програмата
Resource	Ресурс
Disconnected	Изключен
Edit	Редактирай
Host name/IP (optional)	Име на хоста/IP (незадължително)
Add rule	Добави правило
for all status types	За всички статуси
Paste Jid	Постави JID
Goto URL	Към URL-адреса
Clock offset	Часово отместване
flash backlight	Просветване
Suspend	Отложи
Resume Message	Чернова
Alert Profile >	Известяване >
My vCard	Моята визитка
transports	транспорт
New Account	Нов акаунт
self-contact	свои контакты
vCard	Визитка
Set Subject	Задай тема
Tools	Инструменти
Port	Порт

//473
Proxy name/IP	прокси-сървър ИМЕ/IP
Proxy port	прокси-сървър ПОРТ
autofocus	автофокус

Connect	Свързване
history -	история -
Are You sure want to discard 	Вы действительно собираетесь понизить у 
 from OWNER to 	 право OWNER до 
Modify affiliation	Измени членство

// DO NOT TRANSLATE THIS LINES!!!
Ignore-List	Ignore-List
General	General
Stanzas	Stanzas
Not-in-list	Not-in-list
proxy CONNECT	proxy CONNECT

//476
Clear	Изчисти

//494
Ask subscription	Искай разрешение
Grant subscription	Дай разрешение

//502
Invite to conference	Покани в конференция
Reason	Причина
You have been invited to 	Поканен сте в 
 is inviting You to 	 Ви покани в 
Visitors are not allowed to send messages to all occupants	Гости не могат да пишат в общия чат
Unaffiliate	Отнеми членство
Grant Moderator	Направи Модератор
Revoke Moderator	Отнеми право Модератор
Grant Admin	Направи Админ
Grant Ownership	Направи Собственик

room presences	статусы в конференции

 is now known as 	 смени ника си с 
 was banned 	 е блокиран 
 was kicked 	 е изгонен 
 has been kicked because room became members-only	 е изгонен, стаята е само за членове
 has left the channel	 напусна конференцията
 has joined the channel as 	 се включи като 
 and 	 и 
 is now 	 сега е 
