// Copyright (c) 2005-2006, Eugene Stahov (evgs), http://bombus.jrudevels.org
// All rights reserved.
// (c) zalex <zlex@ukr.net>, 2006.

// ask server to send us localized messages
xmlLang	ua
//463
langfile	Ukrainian
Jid	Jid
Loading	Завантаження
Privacy Lists	Списки конфiденцiйностi
Existing groups	iснуючi групи
Message font	Шрифт повiдомлення
Roster font	Шрифт ростера
Paste Body	Вставити тiло повiд.
Configure Room	Конфiгуратор Кiмнати
Paste Subject	Вставити тему повiд.
Service Discovery	Огляд Сервiсiв
User JID	JID користувача
New list	Новий список
Select (no login)	Вибрати (без з'єднання)
Privacy rule	Правило конфiденцiйностi
use SSL	використовувати SSL
Modify	Змiнити
Update	Оновити
Account name	iм'я акаунта
GMT offset	Часовий пояс (GMT+)
Time settings (hours)\n	Налаштування часу\n
Connected	З'єднання встановлено
Connect to 	З'єднання з 
Alert Profile	Сигнали
Move Up	Змiстити нагору
Move Down	Змiстити донизу
Owners	Власники
Ok	ОК
Minimize	Згорнути
Room	Кiмната
Messages	Повiдомлення
Refresh	Оновити
Resolve Nicknames	Перетворити у нiк
Action	Дiя
Ban	Бан
Leave Room	Покинути Кiмнату
Password	Пароль
Actions >	Дiї >
Activate	Активувати
Affiliation	Членство
Accounts	Акаунти
Delete list	Видалити список
Account >	Акаунт >
Show Offlines	Показати вiдключених
Select	Вибрати
Subject	Тема
Group menu	Меню груп
Quit	Вихiд
Add to roster	Додати до ростеру
Edit list	Редагувати список
Registering	Реєстрацiя
Done	Зроблено
Error: 	Помилка: 
Browse	Огляд
Save list	Зберегти список
Keep-Alive period	Перiод Keep-Alive
<New Group>	<Нова Група>
Send	Вiдправити
Priority	Прiоритет
Failed	Помилка З'єднання
Set Priority	Встановити прiоритет
Delete rule	Видалити правило
Roster request	Отримання ростера
Type	Тип
Name	iм'я
Username	iм'я користувача
fullscreen	На повний екран
All Priorities	У всiх статусах
Add bookmark	Дод. закладку
conferences only	Тiльки конференцiї
Client Info	iнфо о клiєнтi
Discard Search	Скинути результати
Search Results	Результати пошуку
Members	Члени
// offline	Вiдключенi
Add Contact	Додати контакт
Subscription	Пiдписка
Status >	Статус >
Join	Приєднатися
Startup actions	Дiї при запуску
Server	Сервер
Admins	Адмiни
Make Ignore-List	Створити iгнор-лист
Options	Налаштування
Delete	Видалити
Delete contact?	Видалити контакт?
Authorize	Авторизувати
Nicknames	Нiки
Entering setup	Вхiд у налаштування акаунта
to Archive	до Архiву
Back	Назад
heap monitor	Монiтор heap
Hide Splash	Ростер
Message	Повiдомлення
<Other>	<iнший>
Append	Додати
Active Contacts	Актив. контакти
Select nickname	Вибрати нiк
Group	Група
Join conference	Приєднатися до конференцiї
No	Нi
Yes	Так
Re-Enter Room	Повернутися у Кiмнату
New Message	Нове повiдомлення
Add	Додати
Logon	З'єднати
Logoff	Вiд'єднати
Login in progress	Перевiрка паролю
at Host	Сервер
join conferences	автовхiд до конференцiї
Status	Статус
Smiles	Смайлики
Contact >	Контакт >
Order	Порядок
offline contacts	Показати вiд'єднаних
Transport	Транспорт
composing events	"composing" подiї
Add Smile	:-)
Nickname	Нiк
Revoke Voice	Вiдняти право голосу
Commands	Команди
- (Sign)	- (знак)
Set default	Уст. за замовчанням
Outcasts (Ban)	iзгої (Ban)
Set affiliation to	Змiнити членство на
Hide Offlines	Сховати вiдключених
Register Account	Зареєструвати акаунт
autologin	автоз'єднання
Publish	Опублiкувати
Remove subscription	Видалити пiдписку
Set	Установити
Application	Додаток
Bookmarks	Закладки
Test sound	Тест звуку
Startup	Запуск
Edit rule	Редаг. правило
Cancel	Скасувати
Close	Закрити
Archive	Архiв
free 	вiльно 
Conference	Конференцiя
Sound	Звук
Login failed	Помилка авторизацiї
New Jid	Новий Jid
plain-text password	пароль прост. текстом
Paste Nickname	Вставити нiк
Kick	Вигнати (kick)
Clear List	Очистити список
Grant Voice	Надати право голосу
Quote	Цитувати
Roster elements	Елементи ростера
popup from background	popup from background
smiles	смайлики
About	Про програму
Resource	Ресурс
Disconnected	Роз'єднано
Edit	Редагувати
Host name/IP (optional)	iм'я хоста/IP (необов'язково)
Add rule	Додати правило
for all status types	для усiх статусiв
Paste Jid	Вставити Jid
Goto URL	Перейти по URL
Clock -	Годинник -
Login	Вiдкриття сокета
Clock offset	Зсув годин
flash backlight	мигати пiдсвiчуванням
Suspend	Вiдкласти
Resume Message	Продовжити повiд.
Alert Profile >	Сигнали >
My vCard	Особиста vCard
transports	транспорти
New Account	Новий акаунт
self-contact	свої контакти
vCard	vCard
Set Subject	Установити Тему
Tools	Iнструменти
Jabber Tools	iнструменти сервера
Port	Порт

//473
Proxy name/IP	iм'я проксi-сервера/IP
Proxy port	Порт проксi-сервера
Autofocus	Автофокус

Connect	Login
history -	iсторiя -
Are You sure want to discard 	Ви дiйсно збираєтеся понизити в 
 from OWNER to 	 право OWNER до 
Modify affiliation	Змiна членства

// DO NOT TRANSLATE THIS LINES!!!
Ignore-List	Ignore-List
General	General
Stanzas	Stanzas
Not-in-list	Not-in-list
proxy CONNECT	proxy CONNECT
