// Ukrainian langfile for Bombus - mobile jabber client
// (c) zalex <zlex@ukr.net>, 2006
// (с) maj <maj@jabbus.org>, 2007. Thanks to voffk, dimiork, v0id

xmlLang	uk
Jid	JID
Privacy Lists	Списки конфiденцiйностi
Message font	Шрифт повiдомлення
Roster font	Шрифт ростера
Paste Body	Вставити тiло повiд.
Configure Room	Конфiгуратор кiмнати
Paste Subject	Вставити тему повiд.
Service Discovery	Огляд сервiсiв
User JID	JID користувача
New list	Новий список
Select (no login)	Вибрати (без пiдключення)
Privacy rule	Правило конфiденцiйностi
use SSL	Використ. SSL
Modify	Змiнити
Update	Оновити
Account name	Iм'я акаунта
GMT offset	Часовий пояс (GMT+)
Time settings (hours)	Налаштування часу
Connected	З'єднання встановлено
Connect to 	З'єднання з 
Alert Profile	Сигнали
Move Up	Перемістити вище
Move Down	Перемістити нижче
Owners	Власники
Ok	Ok
Minimize	Згорнути
Room	Кiмната
Messages	Повiдомлення
Refresh	Оновити
Resolve Nicknames	Перетворити у нiки
Action	Дiя
Ban	Бан
Leave Room	Покинути кiмнату
Password	Пароль
Actions >	Дiї >
Activate	Активувати
Affiliation	Членство
Accounts	Акаунти
Delete list	Видалити список
Account >	Акаунт >
Select	Вибрати
Subject	Тема
Group menu	Меню груп
Quit	Вихiд
Add to roster	Додати до ростеру
Edit list	Редагувати список
Registering	Реєстрацiя
Done	Зроблено
Error: 	Помилка: 
Browse	Огляд
Save list	Зберегти список
Keep-Alive period	Перiод Keep-Alive
<New Group>	<Нова Група>
Send	Надiслати
Priority	Прiоритет
Failed	Помилка з'єднання
Set Priority	Встановити прiоритет
Delete rule	Видалити правило
Roster request	Отримання ростера
Type	Тип
Name	Iм'я
Username	Iм'я користувача
fullscreen	на повний екран
Add bookmark	Дод. закладку
conferences only	тiльки конференцiї
Client Version	Версiя клiєнта
Discard Search	Скинути результати
Search Results	Результати пошуку
Members	Члени
Add Contact	Додати контакт
Subscription	Пiдписка
Status >	Статус >
Join	Приєднатися
Startup actions	Дiї при запуску
Server	Сервер
Admins	Адмiни
Make Ignore-List	Створити iгнор-лист
Options	Налаштування
Delete	Видалити
Delete contact?	Видалити контакт?
Authorize	Авторизувати
Nicknames	Нiки
to Archive	до архiву
Back	Назад
heap monitor	монiтор heap
Message	Повiдомлення
<Other>	<Iнший>
Append	Додати
Active Contacts	Актив. контакти
Select nickname	Обрати нiк
Group	Група
Join conference	Приєднатися до конференцiї
No	Нi
Yes	Так
Re-Enter Room	Повернутися у кiмнату
New Message	Нове повiдомлення
Add	Додати
Logon	З'єднати
Logoff	Вiд'єднати
at Host	Сервер
join conferences	автовхiд до конференцiї
Status	Статус
Smiles	Смайлики
Contact >	Контакт >
offline contacts	показати вiд'єднаних
Transport	Транспорт
composing events	сповіщення про набір
Add Smile	:-)
Nickname	Нiк
Revoke Voice	Позбавити права голосу
Commands	Команди
- (Sign)	- (знак)
Set default	Уст. за замовчанням
Outcasts (Ban)	Iзгої (Ban)
Set affiliation to	Змiнити членство на
Register Account	Зареєструвати акаунт
autologin	автоз'єднання
Publish	Опублiкувати
Remove subscription	Видалити пiдписку
Set	Установити
Application	Програма
Bookmarks	Закладки
Test sound	Тест звуку
Startup	Запуск
Edit rule	Редаг. правило
Cancel	Скасувати
Close	Закрити
Archive	Архiв
free 	вiльно 
Conference	Конференцiя
Sound	Звук
Login failed	Помилка авторизацiї
New Jid	Новий JID
plain-text password	пароль прост. текстом
Paste Nickname	Вставити нiк
Kick	Вигнати (Kick)
Clear List	Очистити список
Grant Voice	Надати право голосу
Quote	Цитувати
Roster elements	Елементи ростера
popup from background	розгортатися з фону
smiles	смайлики
About	Про програму
Resource	Ресурс
Disconnected	Роз'єднано
Edit	Редагувати
Host name/IP (optional)	Iм'я хоста/IP (необов'язково)
Add rule	Додати правило
for all status types	для усiх статусiв
Paste Jid	Вставити JID
Goto URL	Перейти по URL
Clock offset	Зсув часу (годин)
flash backlight	сповіщати підсвіткою
Suspend	Вiдкласти
Resume Message	Продовжити повiд.
Alert Profile >	Сигнали >
